range,percentage,min,max,fund_slug
"$3,000,000 - $10,000,000",25.0,3000000,10000000.0,cmt-digital
"$10,000,000 - $20,000,000",40.0,10000000,20000000.0,cmt-digital
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,cmt-digital
"$50,000,000+",5.0,50000000,,cmt-digital
"$0 - $1,000,000",0.0,0,1000000.0,paul-taylor
"$1,000,000 - $3,000,000",55.0,1000000,3000000.0,paul-taylor
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,paul-taylor
"$10,000,000 - $20,000,000",0.0,10000000,20000000.0,paul-taylor
"$20,000,000 - $50,000,000",0.0,20000000,50000000.0,paul-taylor
"$50,000,000+",5.0,50000000,,paul-taylor
"$0 - $1,000,000",0.0,0,1000000.0,dcg-group
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,dcg-group
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,dcg-group
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,dcg-group
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,dcg-group
"$50,000,000+",0.0,50000000,,dcg-group
"$0 - $1,000,000",0.0,0,1000000.0,sfermion
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,sfermion
"$3,000,000 - $10,000,000",45.0,3000000,10000000.0,sfermion
"$10,000,000 - $20,000,000",15.0,10000000,20000000.0,sfermion
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,sfermion
"$50,000,000+",0.0,50000000,,sfermion
"$0 - $1,000,000",5.0,0,1000000.0,kucoin-labs
"$1,000,000 - $3,000,000",45.0,1000000,3000000.0,kucoin-labs
"$3,000,000 - $10,000,000",30.0,3000000,10000000.0,kucoin-labs
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,kucoin-labs
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,kucoin-labs
"$50,000,000+",0.0,50000000,,kucoin-labs
"$0 - $1,000,000",0.0,0,1000000.0,okx-ventures
"$1,000,000 - $3,000,000",15.0,1000000,3000000.0,okx-ventures
"$3,000,000 - $10,000,000",55.0,3000000,10000000.0,okx-ventures
"$10,000,000 - $20,000,000",20.0,10000000,20000000.0,okx-ventures
"$20,000,000 - $50,000,000",10.0,20000000,50000000.0,okx-ventures
"$50,000,000+",0.0,50000000,,okx-ventures
"$0 - $1,000,000",15.0,0,1000000.0,kenetic-capital
"$1,000,000 - $3,000,000",30.0,1000000,3000000.0,kenetic-capital
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,kenetic-capital
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,kenetic-capital
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,kenetic-capital
"$50,000,000+",0.0,50000000,,kenetic-capital
"$0 - $1,000,000",0.0,0,1000000.0,accel
"$1,000,000 - $3,000,000",5.0,1000000,3000000.0,accel
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,accel
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,accel
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,accel
"$50,000,000+",20.0,50000000,,accel
"$0 - $1,000,000",0.0,0,1000000.0,sequoia-capital-china
"$1,000,000 - $3,000,000",20.0,1000000,3000000.0,sequoia-capital-china
"$3,000,000 - $10,000,000",35.0,3000000,10000000.0,sequoia-capital-china
"$10,000,000 - $20,000,000",5.0,10000000,20000000.0,sequoia-capital-china
"$20,000,000 - $50,000,000",25.0,20000000,50000000.0,sequoia-capital-china
"$50,000,000+",15.0,50000000,,sequoia-capital-china
"$0 - $1,000,000",0.0,0,1000000.0,gsr
"$1,000,000 - $3,000,000",35.0,1000000,3000000.0,gsr
"$3,000,000 - $10,000,000",40.0,3000000,10000000.0,gsr
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,gsr
"$20,000,000 - $50,000,000",5.0,20000000,50000000.0,gsr
"$50,000,000+",10.0,50000000,,gsr
"$0 - $1,000,000",5.0,0,1000000.0,jane-street-capital
"$1,000,000 - $3,000,000",10.0,1000000,3000000.0,jane-street-capital
"$3,000,000 - $10,000,000",50.0,3000000,10000000.0,jane-street-capital
"$10,000,000 - $20,000,000",10.0,10000000,20000000.0,jane-street-capital
"$20,000,000 - $50,000,000",15.0,20000000,50000000.0,jane-street-capital
"$50,000,000+",10.0,50000000,,jane-street-capital
"$0 - $1,000,000",0.0,0,1000000.0,mgx
"$1,000,000 - $3,000,000",0.0,1000000,3000000.0,mgx
"$3,000,000 - $10,000,000",0.0,3000000,10000000.0,mgx
